ID,SEASON,TEAM_ID_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
77,2019,1610612743,0.46799999999999997,0.8,0.324,32.0,36.0,1610612746,0.547,0.769,0.355,23.0,41.0,0
78,2019,1610612748,0.444,0.9,0.36200000000000004,33.0,41.0,1610612749,0.489,0.773,0.314,25.0,46.0,0
79,2019,1610612747,0.5660000000000001,0.611,0.444,30.0,41.0,1610612745,0.449,0.7390000000000001,0.415,22.0,35.0,1
80,2019,1610612738,0.44,0.741,0.2,18.0,45.0,1610612761,0.395,0.789,0.386,23.0,41.0,0
81,2019,1610612746,0.409,0.69,0.281,20.0,52.0,1610612743,0.451,0.765,0.375,18.0,45.0,0
82,2019,1610612748,0.449,0.794,0.38299999999999995,27.0,49.0,1610612749,0.42,0.7140000000000001,0.297,23.0,44.0,1
83,2019,1610612747,0.42200000000000004,0.8420000000000001,0.289,18.0,41.0,1610612745,0.48100000000000004,0.741,0.359,19.0,41.0,0
84,2019,1610612738,0.47,0.762,0.31,21.0,44.0,1610612761,0.466,0.563,0.325,23.0,39.0,0
85,2019,1610612746,0.5710000000000001,0.8240000000000001,0.41700000000000004,23.0,45.0,1610612743,0.42200000000000004,0.667,0.25,20.0,40.0,1
86,2019,1610612749,0.435,0.846,0.28,16.0,50.0,1610612748,0.457,0.7809999999999999,0.37799999999999995,22.0,38.0,0
87,2019,1610612745,0.39799999999999996,0.895,0.34700000000000003,18.0,44.0,1610612760,0.461,0.762,0.47100000000000003,24.0,46.0,1
88,2019,1610612761,0.4,0.8420000000000001,0.275,25.0,41.0,1610612738,0.42100000000000004,0.92,0.395,18.0,44.0,0
89,2019,1610612743,0.373,0.769,0.258,21.0,46.0,1610612762,0.38,0.667,0.235,16.0,48.0,1
90,2019,1610612749,0.493,0.5379999999999999,0.457,22.0,34.0,1610612748,0.46399999999999997,0.9259999999999999,0.387,21.0,46.0,0
91,2019,1610612760,0.42700000000000005,0.889,0.33299999999999996,17.0,51.0,1610612745,0.452,0.75,0.341,19.0,41.0,1
92,2019,1610612761,0.369,0.759,0.25,22.0,40.0,1610612738,0.47,0.81,0.436,25.0,50.0,0
93,2019,1610612742,0.42200000000000004,0.588,0.297,20.0,42.0,1610612746,0.484,0.9229999999999999,0.379,22.0,52.0,0
94,2019,1610612762,0.45299999999999996,0.7,0.5,20.0,30.0,1610612743,0.5489999999999999,0.885,0.5,22.0,43.0,0
95,2019,1610612749,0.455,0.815,0.35600000000000004,27.0,56.0,1610612753,0.39399999999999996,0.7140000000000001,0.366,22.0,47.0,1
96,2019,1610612745,0.43,0.643,0.396,28.0,55.0,1610612760,0.315,0.652,0.152,11.0,58.0,1
97,2019,1610612747,0.545,0.8079999999999999,0.389,27.0,41.0,1610612757,0.473,0.8079999999999999,0.48100000000000004,20.0,43.0,1
98,2019,1610612743,0.506,0.938,0.457,22.0,38.0,1610612762,0.5,0.813,0.47100000000000003,23.0,35.0,1
99,2019,1610612746,0.631,0.765,0.629,28.0,49.0,1610612742,0.447,0.6970000000000001,0.324,19.0,31.0,1
100,2019,1610612753,0.414,0.8,0.4,26.0,43.0,1610612749,0.495,0.667,0.415,29.0,49.0,0
101,2019,1610612760,0.488,0.7859999999999999,0.344,16.0,46.0,1610612745,0.451,0.9,0.397,25.0,40.0,1
102,2019,1610612748,0.44,0.7859999999999999,0.267,24.0,60.0,1610612754,0.413,0.636,0.37799999999999995,20.0,34.0,1
103,2019,1610612757,0.449,0.742,0.429,20.0,42.0,1610612747,0.563,0.667,0.436,29.0,41.0,0
104,2019,1610612755,0.42700000000000005,0.794,0.265,12.0,39.0,1610612738,0.46299999999999997,0.759,0.34299999999999997,19.0,42.0,0
105,2019,1610612742,0.5,0.75,0.361,20.0,54.0,1610612746,0.46399999999999997,0.9059999999999999,0.368,19.0,41.0,1
106,2019,1610612751,0.39799999999999996,0.758,0.38,21.0,44.0,1610612761,0.5539999999999999,0.727,0.46799999999999997,39.0,57.0,0
107,2019,1610612762,0.575,0.861,0.483,14.0,37.0,1610612743,0.49,0.9229999999999999,0.386,25.0,40.0,1
108,2019,1610612753,0.452,0.857,0.48700000000000004,24.0,35.0,1610612749,0.561,0.706,0.45899999999999996,27.0,43.0,0
109,2019,1610612748,0.45299999999999996,0.8270000000000001,0.39399999999999996,23.0,46.0,1610612754,0.488,0.75,0.364,23.0,37.0,1
110,2019,1610612760,0.446,0.6759999999999999,0.341,20.0,54.0,1610612745,0.413,0.696,0.3,14.0,46.0,1
111,2019,1610612757,0.41100000000000003,0.9470000000000001,0.34299999999999997,17.0,38.0,1610612747,0.5,0.6509999999999999,0.33299999999999996,26.0,55.0,0
112,2019,1610612751,0.33299999999999996,0.727,0.314,24.0,42.0,1610612761,0.505,0.636,0.474,35.0,56.0,0
113,2019,1610612762,0.512,0.769,0.486,27.0,50.0,1610612743,0.375,0.818,0.316,20.0,45.0,1
114,2019,1610612755,0.295,0.853,0.231,14.0,57.0,1610612738,0.414,0.917,0.258,15.0,45.0,0
115,2019,1610612742,0.506,0.708,0.395,27.0,42.0,1610612746,0.522,0.815,0.41200000000000003,24.0,44.0,0
116,2019,1610612754,0.444,0.8,0.353,25.0,38.0,1610612748,0.474,0.679,0.514,27.0,41.0,0
117,2019,1610612745,0.418,0.889,0.33899999999999997,21.0,41.0,1610612760,0.44299999999999995,0.895,0.344,15.0,48.0,1
